"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pk"
"PBANKA_0202000","0.015 (0.72)","-0.075 (0.21)","0.095 (8.6e-11)","0.35 (1.5e-71)","-0.18 (5.6e-10)","0.23 (2e-33)","-0.67 (1.2e-11)","-0.13 (1.4e-08)","-0.046 (1.4e-08)","-0.0015 (0.33)","0.086 (0.8)","0.00042 (0.6)","0.061 (0.63)","PF3D7_0111800","PKNH_0201800"
"PBANKA_0202300","-0.0011 (0.97)","-0.0068 (0.92)","0.26 (1e-16)","0.057 (0.014)","-0.12 (0.0014)","-0.092 (8.3e-25)","-0.13 (4.7e-18)","0.0011 (0.76)","-0.001 (0.89)","0.0025 (0.031)","-0.00086 (0.88)","0.032 (0.61)","-0.087 (0.63)","PF3D7_0111500","PKNH_0202100"
"PBANKA_0202600","-0.001 (0.56)","-0.0011 (0.91)","0.43 (5.4e-35)","-0.25 (5.7e-17)","0.13 (0.0013)","-0.071 (1.2e-13)","-0.0023 (0.8)","-0.00053 (0.92)","0.0013 (6.6e-09)","0.0017 (8.3e-06)","-0.013 (0.8)","5e-04 (1)","0.095 (0.63)","PF3D7_0111200","PKNH_0202400"
"PBANKA_0203100","0.04 (0.7)","-0.18 (4.2e-11)","0.0019 (0.22)","-0.0033 (9.6e-08)","0.00041 (0.098)","-0.00034 (0.82)","0.0018 (0.61)","0.21 (1.2e-18)","1.7 (7.2e-30)","-0.95 (3.6e-13)","1.3 (0.8)","0.89 (0.6)","-0.08 (0.63)","PF3D7_0110600","PKNH_0203300"
"PBANKA_0203900","0.14 (0.19)","1.5 (1.3e-18)","-0.71 (1.9e-81)","6e-05 (0.97)","0.00011 (0.29)","0.00097 (0.084)","0.19 (3.8e-21)","-0.075 (2.1e-17)","0.13 (7.5e-14)","-0.22 (7.4e-08)","0.18 (0.8)","0.14 (0.6)","-0.054 (0.87)","PF3D7_0109700","PKNH_0204100"
"PBANKA_0204700","-0.014 (0.69)","0.061 (0.13)","0.88 (7.4e-90)","-0.64 (2.1e-138)","-0.23 (1.4e-28)","0.037 (8.4e-06)","-0.14 (1.9e-09)","-0.0023 (0.76)","0.007 (0.4)","-0.0023 (0.035)","0.17 (0.8)","-0.0012 (0.6)","-0.044 (0.63)","PF3D7_0108800","PKNH_0204900"
"PBANKA_0204900","-0.0015 (0.69)","0.054 (0.5)","0.42 (2.3e-47)","-0.19 (1.6e-14)","-0.23 (1.2e-18)","0.065 (1.2e-13)","0.13 (0.0037)","-0.046 (0.63)","-0.62 (5.1e-17)","-0.0016 (0.82)","0.26 (0.8)","-0.29 (0.59)","0.01 (0.76)","PF3D7_0108600","PKNH_0205100"
"PBANKA_0205400","-0.022 (0.69)","0.035 (0.48)","0.62 (1.6e-86)","-0.26 (2.5e-22)","-0.31 (3e-26)","0.17 (4.9e-36)","-0.22 (2.8e-13)","0.0032 (0.35)","-0.0059 (0.00013)","0.16 (1e-06)","-0.056 (0.99)","0.43 (0.85)","-0.25 (0.63)","PF3D7_0108000","PKNH_0205600"
"PBANKA_0206100","0.028 (0.83)","-0.012 (0.77)","0.064 (2.1e-19)","0.18 (1.1e-61)","-0.18 (1.7e-19)","-0.024 (2e-10)","-0.0093 (0.0018)","-0.00044 (0.92)","0.28 (9.6e-13)","-0.16 (0.39)","0.066 (1)","-4.5 (0.53)","-0.21 (0.63)","PF3D7_0107200","PKNH_0206300"
"PBANKA_0206300","0.0023 (0.5)","-0.0028 (0.75)","0.0051 (0.00031)","0.096 (1.6e-66)","0.81 (8.7e-69)","-0.42 (2.5e-44)","-0.069 (0.0044)","-0.01 (0.027)","2e-04 (0.7)","-0.0015 (0.33)","-0.016 (0.94)","-0.0049 (0.86)","0.019 (0.7)","PF3D7_0107000.1","PKNH_0206500"
"PBANKA_0206500","-0.023 (0.69)","0.0068 (0.81)","0.14 (2.5e-38)","0.14 (7.8e-51)","-0.19 (3e-33)","-0.024 (1.5e-08)","0.07 (1.9e-06)","0.46 (3.1e-26)","-1.1 (1.5e-14)","-0.073 (0.13)","0.6 (0.8)","-0.0011 (0.7)","-0.059 (0.63)","PF3D7_0106800","PKNH_0206700"
"PBANKA_0206900","0.16 (0.16)","0.73 (0.00012)","-0.48 (8.5e-49)","-0.00012 (0.95)","0.029 (6.2e-08)","-0.0043 (0.21)","0.15 (2.8e-05)","-0.12 (2.1e-07)","0.003 (3.6e-21)","-0.0035 (1.8e-11)","0.00094 (0.95)","0.0018 (0.71)","0.049 (0.75)","PF3D7_0106400","PKNH_0207100"
"PBANKA_0207100","-0.03 (0.72)","0.00034 (0.78)","0.00099 (0.05)","0.0017 (4.4e-06)","0.044 (2.5e-12)","-0.012 (0.16)","0.6 (4.1e-15)","-0.5 (2e-16)","-0.14 (3.7e-06)","-0.0016 (0.69)","0.24 (0.8)","0 (1)","-0.0038 (0.93)","PF3D7_0106200","PKNH_0207300"
"PBANKA_0208000","-0.00064 (0.83)","-0.0015 (0.71)","0.00099 (0.57)","0.1 (5.4e-50)","0.86 (7e-63)","-0.33 (5e-37)","-0.093 (4.6e-05)","-0.0068 (0.045)","-0.00024 (0.75)","-0.00038 (0.25)","0.014 (0.8)","0.0036 (0.6)","0.025 (0.74)","PF3D7_0105300","PKNH_0208400"
"PBANKA_0209400","-0.049 (0.69)","-0.0082 (0.84)","0.22 (1.3e-63)","-0.12 (1e-30)","-0.13 (1.1e-20)","-0.015 (2.7e-08)","-0.00042 (0.55)","0.00099 (0.022)","0.78 (1.4e-17)","-0.83 (1.7e-08)","-0.042 (1)","0.59 (0.76)","-0.1 (0.67)","PF3D7_0103700","PKNH_0209800"
"PBANKA_0210100","-0.079 (0.0017)","-0.0048 (0.69)","-0.0012 (0.23)","0.027 (6.3e-36)","0.46 (2.8e-57)","-0.16 (7.3e-09)","-0.055 (0.36)","-0.033 (2.8e-05)","0.049 (6.5e-05)","-0.2 (8.7e-07)","0.0016 (0.8)","0 (1)","0.15 (0.31)","PF3D7_0103000","PKNH_0210600"
"PBANKA_0210500","-0.079 (0.6)","-0.035 (0.45)","0.027 (5.8e-06)","-0.0014 (0.77)","0.033 (0.0033)","0.17 (6.5e-37)","0.43 (5.9e-11)","-0.49 (1.4e-20)","-0.51 (1.2e-17)","-0.068 (0.0062)","0.74 (0.8)","0 (1)","-0.00025 (1)","PF3D7_0726400","PKNH_0211000"
"PBANKA_0212800","-0.0044 (0.72)","2e-06 (0.84)","-0.00012 (1.8e-13)","8e-06 (0.12)","0.0014 (0.073)","0.019 (0.00027)","0.99 (1.9e-40)","-0.87 (6.4e-39)","-0.063 (0.07)","0 (1)","0.18 (0.8)","0 (1)","-0.03 (0.63)","PF3D7_0728700","PKNH_0213300"
"PBANKA_0212900","-0.019 (0.024)","0.019 (0.66)","0.2 (3.1e-33)","-0.23 (3.1e-56)","-0.015 (0.4)","0.0022 (0.65)","0.32 (5.6e-13)","0.057 (0.49)","-0.87 (5.7e-11)","0.036 (0.036)","0.2 (0.97)","0.35 (0.6)","-0.058 (0.75)","PF3D7_0728800","PKNH_0213400"
"PBANKA_0213100","-2e-04 (0.69)","0.27 (3.4e-07)","-0.49 (4.9e-42)","0.0016 (0.64)","0.069 (2.8e-25)","-0.042 (3.9e-42)","0.0039 (0.086)","0.022 (9.1e-18)","-0.014 (1.9e-05)","0.00055 (0.5)","0.00033 (1)","-0.00055 (0.94)","-0.0028 (0.93)","PF3D7_0729000","PKNH_0213600"
"PBANKA_0213700","0.0017 (0.93)","0.082 (0.15)","0.98 (2.9e-100)","-0.81 (2.5e-184)","-0.066 (1.6e-09)","-0.002 (0.27)","0.02 (2e-04)","-0.11 (5.6e-15)","0.029 (0.0011)","-0.031 (0.01)","-0.00093 (0.8)","-0.00078 (0.6)","-0.034 (0.63)","PF3D7_0729600.1","PKNH_0214500"
"PBANKA_0214300","-0.054 (0.062)","0.0014 (0.9)","0.36 (1.3e-33)","-0.039 (0.012)","0.14 (4e-04)","-0.055 (2.8e-06)","0.85 (1.7e-19)","-0.46 (1.7e-31)","0.2 (1.2e-08)","-0.49 (0.0015)","0.067 (0.89)","0.19 (0.6)","0.068 (0.63)","PF3D7_0730200","PKNH_0215100"
"PBANKA_0301300","-0.3 (0.00028)","0.03 (0.31)","0.57 (9.8e-93)","-0.48 (8e-76)","0.0048 (0.96)","0.2 (5e-14)","-0.45 (6.2e-10)","-0.025 (0.23)","-0.045 (0.021)","0.034 (0.01)","0.56 (0.8)","0.55 (0.6)","0.24 (0.63)","PF3D7_0203400","PKNH_0417700"
"PBANKA_0302000","-0.11 (0.33)","-0.0065 (0.71)","-0.0032 (0.065)","0.01 (4e-13)","0.2 (1.6e-53)","-0.093 (2.2e-52)","0.0029 (0.57)","0.0022 (0.75)","0.33 (3.2e-10)","0.49 (1.6e-06)","-0.42 (0.99)","-4.1 (0.24)","-1 (0.0057)","PF3D7_0204200","PKNH_0416900"
"PBANKA_0302700","-0.00025 (0.7)","0.03 (0.28)","0.38 (4.4e-43)","-0.31 (2.5e-28)","-0.049 (0.01)","0.0058 (0.45)","-0.046 (1.4e-05)","0.0013 (0.46)","0.00019 (0.44)","-0.00024 (0.31)","-0.0075 (0.8)","0.16 (0.6)","0.0014 (0.37)","PF3D7_0204900","PKNH_0416000"
"PBANKA_0303200","-0.046 (0.69)","-0.0017 (0.42)","0.37 (2.7e-39)","-0.18 (3.2e-18)","0.46 (7.6e-17)","-0.072 (0.0053)","0.15 (0.072)","-0.16 (3.2e-10)","0.0049 (0.79)","-0.002 (0.17)","0.15 (0.8)","0.00021 (1)","0.019 (0.85)","PF3D7_0205500","PKNH_0415400"
"PBANKA_0303500","-0.0062 (0.7)","-0.0017 (0.5)","0.055 (3.2e-26)","0.074 (8.7e-28)","0.15 (1.3e-12)","-0.16 (2.9e-42)","0.77 (7.6e-24)","-0.37 (9.7e-24)","0.0095 (0.013)","-0.066 (1.7e-05)","0.14 (0.8)","0.0083 (0.93)","-0.016 (0.38)","PF3D7_0205800","PKNH_0415100"
"PBANKA_0303600","-0.0099 (0.72)","0.005 (0.9)","0.84 (1.3e-72)","-0.48 (1.2e-91)","0.1 (9.4e-06)","-0.0053 (0.78)","-0.31 (5.4e-08)","-0.14 (5.4e-12)","-0.02 (0.011)","-4.2e-05 (0.018)","-0.00026 (0.8)","-0.00013 (0.6)","-0.0036 (0.74)","PF3D7_0205900","PKNH_0415000"
"PBANKA_0303800","0.085 (0.69)","-0.078 (4.5e-06)","0.0059 (0.074)","-0.0032 (0.14)","0.0059 (0.0064)","-0.00071 (0.15)","-1.1e-05 (0.71)","0.066 (9.3e-16)","0.66 (5.2e-32)","0.49 (7.9e-05)","-0.86 (0.98)","-2.1 (0.6)","-0.62 (0.24)","PF3D7_0206100","PKNH_0414800"
"PBANKA_0305200","-0.51 (0.00024)","-0.0089 (0.75)","0.083 (6.4e-15)","0.059 (0.0018)","0.11 (0.017)","-0.037 (0.061)","-0.037 (0.79)","-0.11 (2.2e-09)","-0.002 (0.62)","0.075 (5.6e-05)","1.1 (0.8)","1.6 (0.6)","0.23 (0.63)","PF3D7_0208100.1","PKNH_0413000"
"PBANKA_0305600","-0.0041 (0.69)","-0.024 (0.79)","0.069 (2e-10)","0.24 (6.5e-52)","0.16 (0.0038)","-0.12 (1.3e-14)","-0.11 (0.0045)","-0.016 (0.0071)","0.0023 (0.73)","-0.0069 (0.36)","0.092 (0.8)","-0.0013 (0.6)","0.0022 (0.98)","PF3D7_0208500","PKNH_0412600"
"PBANKA_0306200","0.036 (0.69)","0.029 (0.42)","1.1 (1.7e-118)","-0.55 (3.2e-81)","-0.45 (6.6e-30)","-0.0097 (0.02)","0 (1)","0 (1)","0.058 (2.4e-05)","-0.47 (0.0027)","-0.2 (0.87)","0.17 (0.6)","0 (1)","PF3D7_0209100","PKNH_0412000"
"PBANKA_0306300","-0.0089 (0.7)","0.035 (0.65)","0.63 (2e-69)","-0.15 (9.2e-10)","-0.39 (7.2e-17)","-0.029 (3.8e-06)","0.0053 (0.52)","0.0017 (0.82)","-0.0028 (0.47)","0.039 (0.16)","0.0013 (1)","0.009 (0.53)","0.0022 (0.36)","PF3D7_0209200","PKNH_0411900"
"PBANKA_0306400","0.0022 (0.87)","0.0042 (0.82)","0.15 (2e-13)","-0.1 (8.8e-22)","0.037 (0.0064)","-0.046 (8.7e-27)","-0.00027 (0.73)","1.9e-05 (0.99)","-0.011 (0.14)","2e-04 (0.046)","0.0022 (0.87)","0.0041 (0.59)","-0.049 (0.63)","PF3D7_0209300","PKNH_0411800"
"PBANKA_0306500","-1.2e-05 (0.98)","0.0023 (0.51)","0.09 (6.2e-19)","-0.016 (0.24)","0.27 (1.7e-11)","-0.16 (9.9e-11)","0.19 (7.4e-05)","-0.11 (8.4e-10)","-0.0024 (1.6e-05)","0.0016 (1e-04)","-0.0047 (0.87)","0.00036 (0.91)","0.033 (0.63)","PF3D7_0209400","PKNH_0411700"
"PBANKA_0306700","-0.02 (0.71)","0.0012 (0.57)","0.0059 (6.7e-09)","0.055 (4.2e-123)","0.46 (8.1e-72)","0.12 (3.4e-06)","-0.59 (1.1e-13)","0.019 (0.45)","-0.017 (0.17)","-0.0014 (0.32)","0 (1)","0.0019 (0.6)","-0.00065 (0.63)","PF3D7_0209600","PKNH_0411500"
"PBANKA_0306800","0.34 (7.7e-05)","0.91 (1.3e-12)","-1.5 (7.5e-117)","-0.0018 (0.74)","0.0015 (0.52)","0.001 (0.032)","-0.0034 (0.56)","-0.0091 (0.00042)","0.0012 (0.029)","0.0014 (0.00074)","0.0024 (0.94)","0.0069 (0.6)","0.0085 (0.98)","PF3D7_0209800","PKNH_0411300"
"PBANKA_0307000","-0.32 (0.41)","-0.23 (0.0019)","-0.61 (4.3e-74)","0.00044 (0.62)","0 (1)","0 (1)","0.0077 (0.0064)","0.062 (0.0056)","-0.036 (0.002)","0.059 (0.065)","0.24 (0.93)","-0.034 (1)","0.55 (0.13)","PF3D7_0210100.1","PKNH_0411100"
"PBANKA_0307300","-0.0061 (0.94)","-0.013 (0.31)","0.12 (2.2e-13)","0.34 (1e-42)","-0.082 (0.12)","-0.17 (8.6e-37)","-0.0053 (0.0082)","-5.1e-05 (0.54)","0.044 (0.0037)","-0.21 (0.0087)","-0.92 (0.87)","-1.9 (0.58)","-0.0095 (0.9)","PF3D7_0210400","PKNH_0410800"
"PBANKA_0307500","-0.047 (0.69)","3.8e-05 (0.05)","-3.5e-06 (0.69)","1e-05 (2.4e-06)","0.00068 (0.057)","0.0032 (0.14)","0.043 (0.0032)","0.53 (1.9e-37)","-0.21 (0.2)","-0.14 (0.094)","1.7 (0.8)","0 (1)","-0.21 (0.63)","PF3D7_0210600","PKNH_0410600"
"PBANKA_0308100","-0.002 (0.69)","0.023 (0.51)","0.38 (1.1e-52)","0.31 (4.8e-38)","-0.58 (1.9e-38)","-0.01 (0.0041)","9e-05 (0.012)","6e-04 (0.26)","9e-04 (0.087)","-7.3e-05 (0.25)","0.0017 (0.8)","-0.00016 (0.95)","-9.6e-06 (0.98)","PF3D7_0211300","PKNH_0410000"
"PBANKA_0308200","-0.016 (0.53)","-0.0026 (0.83)","0.16 (7.8e-25)","0.11 (3.1e-09)","-0.28 (1.2e-29)","-0.0041 (0.28)","0.0053 (0.18)","0.008 (0.02)","0.2 (9.2e-05)","-0.22 (0.0094)","-0.068 (0.87)","-0.03 (0.84)","-0.00097 (0.99)","PF3D7_0211400","PKNH_0409900"
"PBANKA_0308800","-0.026 (0.72)","0.01 (0.76)","0.2 (1.6e-56)","-0.081 (2.5e-13)","-0.13 (4.1e-19)","-0.0054 (0.17)","0.78 (6e-18)","-0.27 (2.2e-14)","0.39 (3.6e-18)","-0.85 (1e-14)","-0.33 (0.89)","0.2 (0.6)","0.01 (0.89)","PF3D7_0212000","PKNH_0409200"
"PBANKA_0310300","0.0063 (0.69)","-0.016 (0.65)","0.25 (2e-43)","0.5 (2.8e-71)","-0.7 (2.8e-40)","-0.0066 (0.5)","-0.013 (0.046)","0.00021 (0.93)","0.00068 (0.061)","-0.00037 (1.6e-05)","0.00046 (0.99)","0.00073 (0.7)","0.017 (0.63)","PF3D7_0213400","PKNH_0407600"
"PBANKA_0311500","-0.058 (0.69)","2.1e-05 (8.9e-05)","0.003 (5.3e-24)","-0.0038 (4.1e-69)","5e-04 (0.26)","0.0018 (0.23)","0.018 (0.054)","0.3 (5.7e-26)","0.69 (1.8e-05)","-0.15 (0.098)","2.2 (0.8)","0 (1)","-0.17 (0.63)","PF3D7_0214700","PKNH_0406100"
"PBANKA_0312600","-0.0065 (0.87)","0.0075 (0.46)","-0.025 (1.9e-10)","0.031 (1.5e-31)","0.019 (0.0067)","0.034 (2.7e-05)","-0.026 (0.00082)","0.026 (8e-06)","0.33 (4.1e-07)","-0.84 (7.6e-06)","1.3 (0.88)","-0.95 (0.63)","-0.19 (0.58)","PF3D7_0215900","PKNH_0405000"
"PBANKA_0314000","0.16 (0.45)","-0.12 (0.073)","0.053 (4.4e-14)","-0.0022 (0.56)","-0.015 (0.012)","-0.0065 (0.029)","-0.034 (0.0031)","0.025 (0.049)","0.73 (6.9e-17)","-0.42 (0.012)","0.16 (1)","-0.069 (0.96)","0.042 (0.78)","PF3D7_0217300","PKNH_0403600"
"PBANKA_0314200","-0.0037 (0.69)","0.0013 (0.31)","-0.001 (0.037)","0.014 (7.2e-32)","0.009 (0.2)","0.031 (1.4e-05)","0.93 (1.5e-31)","-0.76 (4.1e-21)","-0.14 (0.0072)","0.0014 (0.0077)","-0.004 (0.88)","-0.0018 (0.86)","0.0089 (0.77)","PF3D7_0217500","PKNH_0403400"
"PBANKA_0314300","0.0072 (0.96)","0.00032 (0.99)","0.053 (2.9e-20)","0.13 (1.8e-82)","-0.032 (0.0043)","-0.055 (2.4e-37)","-0.014 (0.00025)","-0.0022 (0.28)","0.21 (2.6e-13)","0.57 (8.5e-06)","-0.52 (0.99)","-2.2 (0.6)","-0.54 (0.21)","PF3D7_0217600","PKNH_0403300"
"PBANKA_0315000","-0.00019 (0.43)","0.00069 (0.013)","0.065 (0.0029)","0.016 (0.6)","-0.075 (0.2)","-0.052 (8.7e-13)","-0.0083 (0.0038)","0.00076 (0.6)","-0.00079 (0.49)","-0.002 (0.081)","0.0016 (0.86)","0.00094 (0.6)","-0.00054 (0.56)","PF3D7_0218300","PKNH_0402600"
"PBANKA_0315200","1.2 (7.6e-06)","-1.1 (8.4e-16)","-0.15 (5.1e-22)","0.03 (5.8e-05)","-0.044 (2.3e-09)","0.0033 (0.0048)","-0.0013 (0.9)","-0.019 (2e-14)","2e-04 (5.9e-14)","0.032 (4.6e-06)","-0.045 (0.99)","0.38 (0.6)","0.4 (0.15)","PF3D7_0218500","PKNH_0402400"
"PBANKA_0401300","-0.0067 (0.72)","0.021 (0.69)","0.71 (1.1e-49)","-0.4 (7.4e-65)","0.28 (5.6e-10)","0.22 (7.3e-20)","-0.15 (0.053)","-0.12 (3.5e-14)","0.00013 (0.78)","-1.3e-05 (0.13)","-0.00022 (0.83)","-2.2e-06 (1)","-0.00021 (0.66)","PF3D7_0302700","PKNH_0840400"
"PBANKA_0401800","0.013 (0.89)","-0.023 (0.00093)","0.0018 (0.072)","0.00024 (0.16)","0.0047 (0.13)","0.25 (5.4e-79)","-0.52 (4.3e-24)","-0.07 (5.6e-10)","0.34 (2e-10)","-1.2 (2e-11)","-0.17 (0.87)","0.68 (0.61)","0.0046 (0.98)","PF3D7_0303200","PKNH_0839900"
"PBANKA_0402500","-0.00031 (0.97)","2.9e-05 (0.77)","0.00013 (0.17)","4e-04 (0.0096)","0.0078 (0.13)","0.012 (0.042)","0.25 (3.7e-09)","-0.13 (0.16)","-0.024 (0.87)","-0.072 (0.3)","0.78 (0.8)","0.41 (0.6)","-0.14 (0.63)","PF3D7_0303900","PKNH_0839200"
"PBANKA_0403600","-0.052 (0.7)","-0.025 (0.7)","0.13 (1.4e-05)","0.5 (1.2e-55)","-0.27 (3.5e-06)","-0.14 (3.3e-10)","0.19 (4.5e-05)","-0.09 (0.0046)","-0.012 (0.82)","-0.0013 (0.26)","0 (1)","0 (1)","0.08 (0.72)","PF3D7_0305100","PKNH_0837600"
"PBANKA_0403900","-0.054 (0.71)","-0.004 (0.83)","0.01 (0.0015)","0.079 (1.1e-39)","-0.091 (3.3e-09)","0.034 (1.3e-11)","-0.035 (1.1e-05)","-0.0027 (0.77)","1.1 (3.4e-20)","-1.3 (3.6e-15)","1.5 (0.8)","-2.1 (0.6)","-0.15 (0.51)","PF3D7_0305400","PKNH_0837300"
"PBANKA_0404600","-0.045 (0.59)","0.072 (0.31)","0.6 (5.6e-60)","-0.6 (8.5e-84)","0.039 (0.013)","-0.023 (0.00088)","-0.026 (0.0046)","-0.007 (0.46)","0.053 (0.00016)","-0.1 (1.4e-10)","0 (1)","0.08 (0.87)","0.083 (0.59)","PF3D7_0306200","PKNH_0836500"
"PBANKA_0404700","-0.0078 (0.71)","-0.00062 (0.98)","0.57 (1.1e-103)","-0.3 (6.1e-59)","-0.0074 (0.86)","0.045 (0.0012)","0.99 (3.9e-28)","-1.1 (3.9e-61)","-0.2 (1.8e-09)","0.00049 (4.4e-07)","-0.0011 (0.91)","-5e-05 (1)","0.0012 (0.97)","PF3D7_0306300","PKNH_0836400"
"PBANKA_0405300","0.49 (5.5e-08)","0.95 (5.8e-11)","-1.5 (3.6e-155)","-3.7e-05 (0.99)","0.002 (0.14)","0.00024 (0.19)","0.037 (1.5e-16)","-0.016 (4e-17)","-0.00021 (0.48)","-0.0023 (0.8)","-0.00013 (0.8)","0.15 (0.6)","0.036 (0.91)","PF3D7_0306900","PKNH_0835700"
"PBANKA_0405500","0.17 (0.0099)","0.81 (4.6e-10)","-1.2 (1.8e-100)","0.004 (0.14)","0 (1)","0 (1)","0.044 (3.8e-13)","-0.047 (4.1e-21)","-0.0085 (0.00017)","0.0083 (0.17)","0.00018 (1)","0.11 (0.6)","0.014 (0.97)","PF3D7_0307200","PKNH_0835500"
