"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pb"
"PKNH_0213300","5.7e-05 (2.1e-05)","1.5e-05 (1)","-0.0011 (0.059)","0.072 (5.4e-35)","0.054 (2.5e-05)","0.3 (2.4e-55)","0.03 (0.88)","-0.85 (2.9e-116)","0.46 (2.1e-10)","-0.12 (4.6e-12)","0.13 (0.9)","-0.0092 (0.96)","-0.006 (0.12)","PF3D7_0728700","PBANKA_0212800"
"PKNH_0213400","0.0015 (0.64)","-0.0056 (0.006)","0.012 (0.039)","0.021 (0.057)","0.13 (2.8e-05)","-0.091 (4.4e-11)","0.038 (0.2)","0.31 (1.6e-11)","-0.87 (8.7e-49)","-0.00061 (0.2)","-3e-04 (0.98)","0.00087 (0.018)","0.002 (0.3)","PF3D7_0728800","PBANKA_0212900"
"PKNH_0213600","1.3e-05 (4.9e-08)","0.057 (0.011)","0.42 (8.3e-12)","-0.35 (5e-27)","-0.012 (0.0034)","-0.0028 (0.0054)","0.0064 (0.42)","-0.053 (1.1e-14)","-0.00025 (0.93)","1.9e-05 (4.6e-05)","4e-06 (1)","-0.00017 (0.053)","-1.5e-05 (0.04)","PF3D7_0729000","PBANKA_0213100"
"PKNH_0214500","-7.1e-05 (7.4e-07)","-2.6e-05 (0.69)","0.18 (6e-06)","-0.18 (1.2e-14)","-0.026 (5.5e-06)","0.0061 (2e-04)","0.012 (0.52)","-0.055 (2.5e-34)","-0.00056 (0.069)","1e-04 (2.3e-10)","0.00024 (0.98)","-0.00058 (0.13)","2.4e-05 (0.53)","PF3D7_0729600.1","PBANKA_0213700"
"PKNH_0215100","1.9e-05 (0.076)","0.00025 (0.0069)","0.045 (0.0052)","-0.093 (0.00047)","-0.003 (0.97)","0.024 (3e-06)","0.074 (0.14)","-0.096 (1.6e-23)","-0.034 (6.3e-09)","6e-05 (0.016)","-0.00023 (0.9)","0.0014 (0.038)","-2e-04 (5.2e-05)","PF3D7_0730200","PBANKA_0214300"
"PKNH_0417700","0.00013 (9.8e-05)","-0.00021 (0.98)","0.1 (3.8e-07)","-0.047 (0.37)","-0.089 (0.06)","0.071 (2.4e-06)","-0.2 (0.023)","-0.015 (1.6e-05)","0.00079 (3.2e-05)","-0.00029 (4.2e-09)","5.8e-05 (1)","-0.00019 (0.98)","0.00021 (0.24)","PF3D7_0203400","PBANKA_0301300"
"PKNH_0416900","0.73 (1.3e-05)","-0.82 (1.1e-05)","0.08 (1.7e-07)","-0.1 (2.1e-27)","-0.0047 (0.00034)","-0.00051 (0.14)","0 (1)","4e-04 (0.27)","1 (3e-47)","-0.69 (2e-20)","0.42 (0.98)","0.13 (0.63)","0.06 (0.13)","PF3D7_0204200","PBANKA_0302000"
"PKNH_0416000","-0.061 (0.016)","-0.038 (0.17)","0.083 (0.00017)","-0.071 (0.1)","-0.1 (1.4e-06)","0.16 (4e-31)","-0.28 (0.0022)","-0.02 (0.00015)","-0.0022 (0.18)","-8e-05 (0.42)","0.00095 (0.98)","0.0019 (0.42)","0.038 (0.064)","PF3D7_0204900","PBANKA_0302700"
"PKNH_0415400","3.8e-06 (0.93)","0.065 (0.082)","0.086 (0.032)","-0.052 (0.0038)","0.19 (3e-13)","-0.019 (0.19)","-0.15 (0.0038)","-0.084 (1e-33)","0.0023 (0.7)","4e-04 (0.23)","-0.026 (0.88)","-0.00039 (0.68)","0.0052 (0.32)","PF3D7_0205500","PBANKA_0303200"
"PKNH_0415100","-2.5e-05 (0.6)","2.3e-05 (0.67)","0.00052 (0.96)","0.43 (1.5e-44)","0.02 (0.87)","-0.0069 (0.8)","-0.21 (0.09)","0.0039 (0.49)","-0.0033 (0.004)","-5.6e-05 (0.00048)","-3.9e-05 (1)","0.00064 (0.05)","5.3e-05 (0.0052)","PF3D7_0205800","PBANKA_0303500"
"PKNH_0415000","0.00011 (0.13)","1.1e-05 (1)","0.11 (2.5e-06)","-0.25 (6.3e-08)","-0.059 (0.00043)","0.24 (1.7e-36)","-0.26 (0.034)","-0.044 (0.0028)","-0.025 (1.2e-09)","-5.8e-05 (0.29)","0.00045 (0.98)","-8.5e-05 (0.97)","0.00014 (0.57)","PF3D7_0205900","PBANKA_0303600"
"PKNH_0414800","-0.0046 (0.19)","-0.00041 (2.4e-06)","0.096 (0.0076)","-0.28 (1.9e-11)","-0.03 (0.21)","-0.0079 (0.013)","0.013 (0.12)","-0.0036 (0.21)","0.24 (3e-19)","-0.25 (1e-05)","1.8 (0.88)","0.41 (0.85)","-0.11 (0.0031)","PF3D7_0206100","PBANKA_0303800"
"PKNH_0413000","0.00038 (1e-12)","5.3e-05 (0.38)","0.057 (0.00015)","0.22 (1.2e-08)","-0.13 (0.0056)","0.068 (0.002)","-0.01 (1)","-0.41 (9.6e-37)","0.21 (0.0082)","-0.029 (0.14)","0 (1)","0 (1)","5.4e-05 (0.27)","PF3D7_0208100.1","PBANKA_0305200"
"PKNH_0412600","-8.3e-06 (0.44)","1.6e-06 (0.9)","0.2 (3.5e-08)","-0.23 (1.7e-08)","0.0098 (0.74)","-0.00056 (0.94)","-0.025 (0.14)","-0.0047 (0.22)","-0.0029 (0.8)","7e-05 (0.0032)","-1e-04 (0.98)","-0.00019 (0.75)","-0.00021 (2.3e-06)","PF3D7_0208500","PBANKA_0305600"
"PKNH_0412000","2.2e-05 (0.098)","0.00032 (4.9e-05)","9.6e-05 (1)","0.036 (1.8e-12)","-0.026 (1.3e-08)","-0.0055 (2.2e-17)","-0.00019 (0.68)","0.00025 (0.87)","1.3 (2.3e-55)","-1.4 (1.8e-20)","-0.02 (1)","0.59 (0.86)","-0.19 (0.08)","PF3D7_0209100","PBANKA_0306200"
"PKNH_0411900","-0.00012 (9e-04)","9.8e-07 (0.98)","0.11 (3.2e-05)","-0.09 (9.1e-05)","-0.034 (0.0016)","0.0051 (0.13)","0.014 (0.5)","0.032 (8.3e-08)","-0.1 (2.5e-24)","0.0049 (0.092)","-5.4e-05 (1)","0.0021 (0.23)","-0.00059 (0.00068)","PF3D7_0209200","PBANKA_0306300"
"PKNH_0411800","-3.4e-05 (0.00056)","2.5e-05 (0.81)","0.22 (1.1e-11)","-0.26 (5.3e-13)","-0.018 (0.0013)","0.00011 (0.61)","0.0099 (0.12)","-0.0015 (0.019)","0.0028 (0.13)","0.017 (0.0051)","-0.23 (0.88)","-0.0032 (1)","-0.014 (0.056)","PF3D7_0209300","PBANKA_0306400"
"PKNH_0411700","-0.0048 (0.17)","3.5e-05 (0.38)","0.004 (0.77)","0.25 (4.8e-15)","-0.22 (2e-12)","-0.035 (1.7e-16)","0.026 (0.039)","0.2 (4.3e-43)","-0.16 (3.5e-12)","0.061 (0.053)","0.14 (0.99)","0.4 (0.57)","-0.051 (0.052)","PF3D7_0209400","PBANKA_0306500"
"PKNH_0411500","0.00011 (0.46)","0.00013 (0.22)","0.03 (0.04)","0.22 (4.3e-12)","0.097 (0.12)","-0.059 (0.0083)","-0.28 (0.013)","-0.064 (9.9e-08)","0.00064 (0.91)","-0.0037 (0.19)","-3.7e-18 (0.98)","3.3e-06 (0.018)","-4.3e-08 (0.98)","PF3D7_0209600","PBANKA_0306700"
"PKNH_0411300","-0.006 (0.00027)","0.021 (0.39)","0.58 (1.1e-16)","-0.34 (1.3e-30)","0.06 (1.3e-10)","0.0056 (0.16)","-0.012 (0.48)","-0.048 (2.7e-64)","5.5e-05 (0.9)","0.0019 (0.035)","0.017 (0.98)","-0.027 (0.65)","0.00015 (1)","PF3D7_0209800","PBANKA_0306800"
"PKNH_0411100","0.0042 (0.00063)","0.43 (0.00015)","-0.53 (8e-13)","-0.078 (4.3e-08)","-7.2e-06 (1)","-0.00037 (0.14)","0.0029 (0.093)","-0.0017 (0.016)","-0.00048 (0.58)","0.00036 (0.35)","-0.00054 (0.98)","0.00041 (0.2)","-5.4e-05 (0.11)","PF3D7_0210100.1","PBANKA_0307000"
"PKNH_0410800","6.5e-06 (6.6e-05)","1.2e-05 (0.98)","0.058 (1.7e-05)","-0.081 (0.0097)","0.062 (0.0078)","0.006 (0.5)","-0.071 (0.013)","-0.0096 (0.0097)","0.0039 (0.21)","-0.00011 (1.2e-08)","0.00026 (0.92)","0.0012 (0.025)","-5e-06 (0.13)","PF3D7_0210400","PBANKA_0307300"
"PKNH_0410600","4.5e-05 (1.1e-14)","0.00083 (0.26)","0.002 (0.12)","-0.00017 (0.18)","-3.1e-07 (1)","4.8e-06 (0.00098)","-3.9e-06 (0.6)","0.053 (2.9e-11)","0.64 (7.5e-13)","-0.37 (3.5e-07)","0 (1)","0.021 (0.35)","0 (1)","PF3D7_0210600","PBANKA_0307500"
"PKNH_0410000","7.9e-05 (0.05)","-0.00023 (0.0014)","0.22 (4.5e-07)","-0.22 (5.7e-13)","0.068 (6.6e-06)","-0.019 (6.3e-05)","0.019 (0.48)","-0.042 (8.3e-16)","-7.1e-05 (8.8e-06)","-0.00079 (0.7)","-1e-04 (1)","-0.00026 (0.63)","-3.3e-05 (0.44)","PF3D7_0211300","PBANKA_0308100"
"PKNH_0409900","-0.0018 (2.1e-13)","-0.00015 (0.23)","0.0041 (0.026)","-0.079 (0.00017)","-0.001 (0.71)","0.055 (7.2e-12)","-0.015 (0.92)","-0.056 (0.018)","0.037 (0.72)","-0.022 (0.034)","0.0019 (0.98)","0.00038 (1)","2.9e-05 (0.98)","PF3D7_0211400","PBANKA_0308200"
"PKNH_0409200","-8.3e-07 (0.78)","-6.2e-06 (0.79)","0.046 (0.0039)","0.043 (0.24)","-0.074 (2.8e-10)","-0.0035 (0.018)","-0.0018 (0.62)","-4e-04 (0.65)","-8.7e-05 (0.056)","0.00014 (0.056)","0.002 (0.88)","0.00049 (0.86)","-0.00022 (0.031)","PF3D7_0212000","PBANKA_0308800"
"PKNH_0407600","-0.0011 (0.008)","-0.0024 (8e-09)","-0.00078 (0.0012)","0.049 (2.4e-07)","-0.027 (0.12)","-0.025 (3.6e-09)","0.12 (0.0014)","-0.087 (5e-06)","-0.3 (1.6e-05)","0.00071 (0.094)","-0.0086 (0.98)","-0.0042 (0.69)","0.0022 (0.015)","PF3D7_0213400","PBANKA_0310300"
"PKNH_0406100","0.00015 (5.6e-14)","0.0016 (0.55)","0.0052 (0.35)","-0.0044 (0.0013)","-1.9e-07 (1)","0 (1)","0 (1)","0.0065 (8.9e-06)","0.92 (2e-18)","-0.11 (0.02)","0 (1)","0 (1)","0 (1)","PF3D7_0214700","PBANKA_0311500"
"PKNH_0405000","-0.00056 (5.1e-12)","-8.5e-05 (0.29)","-0.015 (0.3)","0.0093 (0.011)","0.067 (3.3e-08)","-0.015 (0.026)","0.17 (0.00084)","-0.17 (1.9e-34)","-0.00031 (0.92)","0.00081 (5.9e-09)","0.0035 (0.96)","-0.00045 (0.98)","-0.00038 (0.28)","PF3D7_0215900","PBANKA_0312600"
"PKNH_0403600","-0.0096 (0.055)","-0.0022 (0.98)","-8e-04 (0.045)","0.051 (2.1e-08)","0.073 (0.00027)","0.12 (1.4e-11)","0.048 (0.79)","-0.43 (4.7e-63)","0.037 (0.092)","-0.008 (0.056)","0.00068 (0.98)","0.00028 (0.96)","6e-04 (0.0076)","PF3D7_0217300","PBANKA_0314000"
"PKNH_0403400","-0.0076 (0.16)","0.00037 (5.7e-08)","0.00061 (0.045)","-0.00029 (0.00018)","-7.1e-08 (1)","1e-06 (0.28)","4e-05 (0.014)","0.00087 (0.8)","0.86 (3e-42)","-0.21 (0.1)","-1.1 (0.99)","0.8 (0.93)","-1 (0.00014)","PF3D7_0217500","PBANKA_0314200"
"PKNH_0403300","-0.006 (0.017)","-0.00054 (0.51)","0.22 (6.5e-10)","-0.27 (3.7e-20)","-0.034 (6.6e-05)","0.017 (2.5e-05)","-0.012 (0.55)","0.13 (1.8e-35)","-0.23 (4.2e-29)","-0.0049 (0.23)","0.047 (0.98)","0.05 (0.29)","-0.0038 (0.34)","PF3D7_0217600","PBANKA_0314300"
"PKNH_0402600","0.41 (8.1e-08)","-0.51 (2.2e-08)","0.036 (0.032)","-0.097 (6e-05)","0.024 (0.21)","-0.017 (0.0039)","-0.032 (0.11)","0.0076 (1.1e-07)","-0.012 (0.058)","-2.3e-06 (1)","9.2e-06 (1)","8.8e-05 (0.35)","0.0071 (0.28)","PF3D7_0218300","PBANKA_0315000"
"PKNH_0402400","1.2 (2.3e-13)","-0.93 (1.9e-06)","-0.16 (2.3e-05)","-0.11 (2.2e-10)","-0.00013 (1)","-0.0051 (0.081)","0.0052 (0.00013)","-0.0067 (0.25)","0.036 (0.22)","-0.0054 (0.11)","0.066 (0.98)","-0.049 (0.65)","0.13 (0.16)","PF3D7_0218500","PBANKA_0315200"
"PKNH_0840400","-0.00037 (0.16)","0.0077 (0.49)","0.41 (3.8e-22)","-0.42 (5.4e-33)","-0.045 (0.009)","-0.045 (1.4e-16)","-0.02 (0.27)","-0.02 (8.1e-14)","-5e-05 (0.96)","-1.3e-05 (0.82)","-0.0021 (0.98)","0.00023 (1)","0.00062 (0.17)","PF3D7_0302700","PBANKA_0401300"
"PKNH_0839900","7.7e-05 (1.4e-17)","2.9e-05 (0.02)","0.00013 (0.96)","0.16 (1.2e-68)","-0.096 (1e-11)","-0.022 (6.1e-16)","-0.0014 (0.6)","-0.00078 (0.82)","1.3 (8.2e-66)","-1.3 (7.4e-18)","-0.071 (1)","0.16 (0.99)","-0.19 (0.067)","PF3D7_0303200","PBANKA_0401800"
"PKNH_0839200","0.00018 (0.00034)","0.043 (0.47)","0.1 (0.0057)","-0.099 (1.1e-10)","0.018 (0.0055)","-0.0085 (0.00021)","-0.011 (0.038)","5.5e-06 (0.98)","-0.00077 (3.5e-41)","-0.0022 (0.42)","0.00028 (1)","-0.00021 (0.99)","-0.0022 (0.47)","PF3D7_0303900","PBANKA_0402500"
"PKNH_0837600","-0.00047 (5.8e-14)","0.00056 (1.9e-05)","0.021 (0.0028)","0.23 (9.6e-18)","0.12 (0.0016)","0.28 (4.4e-33)","-0.72 (1.4e-08)","-0.073 (8.5e-15)","0.075 (1.2e-09)","-0.012 (0.00035)","-7.6e-05 (1)","-0.023 (0.018)","-5.5e-05 (0.0061)","PF3D7_0305100","PBANKA_0403600"
"PKNH_0837300","1.1e-05 (0.014)","0.057 (0.082)","0.55 (1.5e-13)","-0.33 (4.5e-27)","0.0045 (0.21)","-0.0037 (7e-04)","0.00097 (0.79)","-0.0036 (7e-04)","-0.00025 (0.5)","0.00011 (0.51)","-0.0017 (0.98)","-0.017 (0.018)","-2.9e-05 (5.3e-06)","PF3D7_0305400","PBANKA_0403900"
"PKNH_0836500","-2.5e-05 (2e-04)","-0.00016 (0.98)","0.17 (5.8e-07)","-0.25 (4.4e-10)","0.42 (2.5e-17)","0.036 (0.079)","-0.36 (1e-04)","-0.19 (4e-59)","0.005 (0.13)","-0.00056 (0.87)","-0.021 (0.98)","0.0062 (0.85)","-0.0052 (0.041)","PF3D7_0306200","PBANKA_0404600"
"PKNH_0836400","-0.00032 (0.17)","0.0057 (0.37)","0.48 (1.7e-20)","-0.34 (8.2e-27)","-0.12 (3.8e-11)","-0.0021 (0.59)","0.056 (0.028)","-0.092 (9e-28)","-0.046 (1.5e-39)","4e-04 (0.0018)","-0.0013 (0.99)","-0.23 (0.018)","-5.8e-05 (0.89)","PF3D7_0306300","PBANKA_0404700"
"PKNH_0835700","0.048 (6.3e-20)","0.66 (1.5e-06)","-0.73 (3.1e-20)","-0.09 (2.1e-09)","-3e-05 (1)","-0.00039 (0.14)","0 (1)","0.00045 (0.41)","-0.00018 (0.84)","-0.00045 (4.7e-06)","0.0011 (0.92)","-0.0045 (0.69)","0.0048 (0.23)","PF3D7_0306900","PBANKA_0405300"
