"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pk","pb"
"PF3D7_0111900","-0.057 (0.65)","-0.049 (1)","0.043 (0.76)","-0.036 (0.014)","-0.047 (2.6e-06)","0.008 (0.00048)","0.011 (0.49)","-0.024 (7.9e-12)","2.4e-05 (0.092)","-3.7e-05 (0.00057)","-2.3e-05 (1)","8.7e-07 (0.95)","-2.4e-07 (0.71)","PKNH_0201700","PBANKA_0201900"
"PF3D7_0111800","-0.017 (0.65)","0.037 (1)","0.05 (0.64)","0.02 (0.027)","-0.093 (3e-29)","-0.0019 (0.0059)","0.0018 (0.0011)","-0.0015 (4.5e-06)","-1.9e-06 (0.93)","5.1e-06 (0.6)","1.2e-06 (1)","-1.3e-05 (0.95)","1.2e-06 (1)","PKNH_0201800","PBANKA_0202000"
"PF3D7_0111500","1.1e-06 (1)","-0.0086 (1)","0.035 (0.73)","-0.016 (0.063)","-0.011 (0.025)","-0.00029 (0.85)","0.021 (0.01)","0.14 (2.2e-14)","-0.17 (7.1e-09)","0.06 (3.6e-08)","0.073 (1)","0.28 (0.95)","1.7e-06 (1)","PKNH_0202100","PBANKA_0202300"
"PF3D7_0111200","-0.052 (0.65)","-0.0039 (1)","7.3e-05 (1)","0.011 (0.37)","-0.054 (1e-06)","-0.0034 (0.065)","0.023 (0.018)","-0.029 (1.5e-21)","1.4e-06 (0.37)","-6.7e-07 (0.19)","-3.3e-06 (1)","-2.2e-07 (1)","-3.8e-07 (0.71)","PKNH_0202400","PBANKA_0202600"
"PF3D7_0110600","0 (1)","-0.045 (1)","0.0011 (1)","-0.096 (9.3e-20)","-0.055 (8.9e-16)","0.0013 (0.46)","-0.02 (0.0076)","-2.3e-05 (0.9)","-1.4e-06 (0.19)","0 (1)","0 (1)","0 (1)","0 (1)","PKNH_0203300","PBANKA_0203100"
"PF3D7_0109600","8.9e-05 (0.65)","-0.1 (1)","0.029 (0.81)","-0.046 (0.00043)","-0.041 (3.4e-09)","-0.0026 (9.3e-06)","-0.0011 (0.45)","-0.00025 (0.067)","-1e-04 (6e-07)","8.7e-06 (8.7e-05)","5.7e-06 (0.85)","0.00013 (0.95)","4.6e-05 (1)","PKNH_0204200","PBANKA_0204000"
"PF3D7_0108800","-0.012 (0.65)","0.01 (1)","-0.015 (0.83)","0.097 (6.2e-21)","-0.073 (2.6e-05)","-0.011 (5.9e-05)","0.0082 (0.66)","-0.016 (0.003)","-0.029 (1.5e-08)","-8.1e-05 (1.3e-05)","8.5e-05 (1)","6.4e-07 (0.95)","2.9e-09 (1)","PKNH_0204900","PBANKA_0204700"
"PF3D7_0108600","-0.019 (0.65)","0.005 (1)","-0.034 (0.64)","0.049 (5.9e-08)","0.014 (0.41)","-0.03 (1.7e-19)","0.00091 (0.66)","-0.00037 (0.15)","4.5e-05 (9.1e-06)","-5.8e-05 (0.0017)","-6.4e-06 (1)","-2.6e-06 (0.95)","1.5e-06 (0.26)","PKNH_0205100","PBANKA_0204900"
"PF3D7_0107200","0.00013 (0.65)","0.0011 (1)","0.013 (0.75)","0.029 (2.2e-06)","-0.027 (2.7e-06)","-0.0022 (0.00035)","1.9e-05 (0.098)","9.8e-05 (1.2e-27)","-0.00013 (1.2e-06)","-4.3e-06 (0.77)","1e-05 (0.85)","0.00022 (0.95)","8e-05 (1)","PKNH_0206300","PBANKA_0206100"
"PF3D7_0106400","1.7e-07 (1)","0.5 (0.85)","-0.016 (0.93)","-0.14 (3.4e-26)","-0.021 (3.7e-06)","-2.5e-06 (0.99)","-0.00082 (0.022)","-0.00023 (1.7e-05)","0.00046 (0.077)","-1.3e-05 (4.5e-05)","-2e-07 (1)","-2.6e-07 (1)","5.1e-08 (1)","PKNH_0207100","PBANKA_0206900"
"PF3D7_0106200","-0.11 (0.65)","-0.00031 (0.39)","0.00038 (0.95)","0.11 (9.7e-47)","0.32 (5.5e-19)","-0.12 (2.7e-11)","-0.095 (0.035)","0.14 (0.007)","-0.17 (0.00018)","7.9e-05 (0.12)","9.8e-05 (1)","0.0011 (0.95)","1.4e-05 (1)","PKNH_0207300","PBANKA_0207100"
"PF3D7_0103000","-0.057 (0.65)","-0.00055 (0.011)","0.0025 (0.87)","0.092 (2.3e-33)","-0.017 (0.22)","-0.016 (0.0051)","-0.0097 (0.76)","-0.027 (0.037)","-0.0052 (0.18)","-0.00036 (0.00035)","7.5e-19 (1)","8e-06 (0.95)","-1.1e-06 (1)","PKNH_0210600","PBANKA_0210100"
"PF3D7_0728600","6.4e-05 (0.81)","0.011 (1)","0.0064 (0.9)","0.062 (1.2e-13)","0.12 (1.9e-07)","0.029 (0.032)","0.16 (0.15)","-0.11 (7.4e-05)","-0.074 (0.0017)","-0.016 (0.58)","-0.00011 (1)","2.5e-05 (1)","1.3e-05 (1)","PKNH_0213200","PBANKA_0212700"
"PF3D7_0728800","3.8e-05 (0.65)","0.032 (1)","-0.018 (0.9)","0.038 (0.0015)","-0.064 (0.00053)","-0.0075 (0.03)","-0.0087 (0.64)","-0.013 (6.6e-08)","-0.0016 (0.29)","7.8e-06 (0.28)","-4.2e-06 (1)","2.5e-06 (0.95)","2.8e-07 (1)","PKNH_0213400","PBANKA_0212900"
"PF3D7_0729600.1","-0.082 (0.65)","0.0085 (1)","0.035 (0.75)","0.062 (1.8e-06)","-0.052 (0.0099)","-0.034 (9.4e-16)","-9.2e-05 (0.98)","-0.0066 (0.0042)","-0.0024 (0.45)","3.7e-05 (0.27)","-6.4e-06 (1)","-3.3e-06 (0.95)","3.2e-09 (1)","PKNH_0214500","PBANKA_0213700"
"PF3D7_0730200","0 (1)","0.065 (0.95)","0.0092 (0.9)","-0.0016 (0.64)","-0.0016 (0.63)","-0.0021 (0.047)","-0.0073 (0.0013)","-6e-04 (0.0047)","-1.7e-06 (0.32)","-1.6e-06 (0.59)","0 (1)","0 (1)","0 (1)","PKNH_0215100","PBANKA_0214300"
"PF3D7_0203400","-0.024 (0.65)","-0.012 (1)","0.042 (0.71)","0.1 (6e-10)","-0.064 (0.0012)","-0.038 (7.3e-07)","-0.017 (0.5)","-0.024 (9.7e-06)","-2e-04 (0.19)","3.2e-05 (0.25)","-4.6e-07 (1)","7e-07 (0.95)","-2.4e-07 (0.71)","PKNH_0417700","PBANKA_0301300"
"PF3D7_0203800","3.4e-05 (0.65)","-1.4e-05 (1)","-0.014 (0.87)","0.019 (1e-12)","-0.0089 (0.083)","0.00064 (0.73)","-0.0033 (0.58)","-0.004 (2.8e-08)","-0.00014 (0.45)","-0.0082 (0.31)","2.9e-06 (1)","8e-07 (1)","-2.7e-21 (1)","PKNH_0417300","PBANKA_0301600"
"PF3D7_0204200","-7e-04 (1)","-0.86 (0.011)","-0.043 (0.63)","-0.059 (4.4e-19)","-0.0082 (0.042)","-0.0069 (4.9e-19)","0.014 (1.4e-05)","-0.013 (1.1e-23)","0.32 (1.5e-08)","1.6 (1.1e-08)","0.8 (1)","-0.12 (1)","-0.33 (0.26)","PKNH_0416900","PBANKA_0302000"
"PF3D7_0204900","-0.081 (0.65)","0.0018 (1)","0.075 (0.57)","0.0087 (0.62)","-0.063 (3.4e-05)","0.00096 (0.91)","-0.059 (0.0051)","-0.0085 (2.3e-08)","-1.6e-05 (0.063)","1.5e-05 (0.27)","-2.5e-07 (1)","3.6e-07 (0.95)","-1.2e-07 (0.71)","PKNH_0416000","PBANKA_0302700"
"PF3D7_0205100","3.4e-05 (0.65)","-0.00031 (1)","0.013 (0.81)","0.066 (5e-20)","-0.063 (1e-10)","-0.0066 (2.3e-11)","-0.0012 (0.38)","0.0014 (1.3e-06)","-0.0022 (0.14)","1.7e-06 (0.00056)","-9.9e-07 (1)","2.7e-06 (0.95)","-2.7e-21 (1)","PKNH_0415800","PBANKA_0302800"
"PF3D7_0205800","-0.024 (0.65)","0.17 (1)","-0.055 (0.57)","-0.027 (9e-07)","0.024 (0.00032)","0.041 (1.1e-09)","-0.038 (0.28)","-0.041 (5.3e-13)","4e-05 (7.1e-09)","-4e-05 (5.5e-05)","9.5e-08 (1)","6.5e-08 (1)","1.9e-10 (1)","PKNH_0415100","PBANKA_0303500"
"PF3D7_0205900","-0.015 (0.65)","0.01 (1)","-0.041 (0.76)","0.028 (0.012)","0.0094 (0.49)","-0.0063 (0.19)","0.1 (0.0034)","0.0012 (0.94)","-0.034 (0.33)","0.0089 (0.069)","-0.015 (1)","0.035 (0.95)","0.0054 (1)","PKNH_0415000","PBANKA_0303600"
"PF3D7_0209200","0 (1)","0.38 (1)","0.01 (0.93)","-0.0034 (0.58)","0.0039 (0.36)","-0.01 (1e-24)","-0.00059 (0.36)","-6e-04 (0.62)","-9.4e-06 (0.015)","-1.5e-05 (0.43)","0.00023 (0.85)","0.00017 (0.95)","2.4e-05 (1)","PKNH_0411900","PBANKA_0306300"
"PF3D7_0209400","1e-05 (0.65)","0.0098 (1)","0.0013 (0.93)","0.013 (0.0011)","-0.017 (4.3e-10)","-0.0016 (5.8e-10)","-2.2e-05 (0.55)","-2.6e-06 (0.74)","6e-06 (0.027)","-0.0021 (0.31)","3.9e-05 (1)","3.6e-20 (0.95)","1.4e-21 (1)","PKNH_0411700","PBANKA_0306500"
"PF3D7_0209600","0 (1)","0.00044 (0.15)","-0.0066 (0.73)","0.0095 (2e-11)","0.038 (3.1e-06)","0.024 (0.0015)","0.022 (0.74)","0.088 (0.0018)","-0.45 (0.049)","-0.0081 (0.59)","0.00071 (1)","0.0017 (0.95)","-0.00064 (0.26)","PKNH_0411500","PBANKA_0306700"
"PF3D7_0210400","5.8e-05 (0.65)","-1.3e-05 (1)","-0.014 (0.81)","0.033 (2.4e-05)","0.012 (0.39)","-0.026 (4.7e-19)","-8.8e-06 (0.89)","-0.00017 (0.59)","9.7e-05 (2.3e-06)","-0.00012 (0.0017)","-1.4e-05 (1)","-5.8e-06 (0.95)","3.4e-06 (0.26)","PKNH_0410800","PBANKA_0307300"
"PF3D7_0210600","0 (1)","2.8e-05 (0.34)","-3.4e-07 (0.95)","-5.8e-05 (0.04)","-2.6e-05 (0.12)","-9.6e-07 (0.34)","0.00031 (0.37)","0.058 (4.9e-42)","2.3 (3.2e-24)","-1.4 (2.2e-06)","0 (1)","0 (1)","0 (1)","PKNH_0410600","PBANKA_0307500"
"PF3D7_0211900","2.9e-05 (0.65)","-0.026 (1)","-0.012 (0.93)","0.048 (0.0025)","-0.097 (2.3e-10)","-0.0013 (0.83)","-0.031 (0.14)","-0.018 (1e-11)","0.00025 (0.49)","8.6e-06 (0.27)","-5.5e-07 (1)","4e-08 (1)","-8e-08 (0.71)","PKNH_0409300","PBANKA_0308700"
"PF3D7_0213100","0.017 (0.65)","0.35 (1)","0.044 (0.73)","-0.14 (1.6e-32)","-0.0086 (0.0066)","0.0019 (2.1e-10)","0.025 (9.4e-05)","-0.011 (7.4e-22)","-0.00015 (4.7e-05)","-0.00022 (0.65)","-3.3e-06 (1)","6.8e-05 (0.95)","5.6e-06 (1)","PKNH_0407900","PBANKA_0310000"
"PF3D7_0213400","1.1e-05 (0.65)","-0.065 (1)","-0.0051 (0.93)","0.0016 (0.57)","-0.01 (6.4e-09)","-0.00058 (4.6e-06)","0.00081 (0.024)","-6.9e-05 (0.78)","-6.4e-06 (0.36)","-6.3e-06 (0.21)","-2.9e-06 (1)","-3.7e-06 (0.95)","3.2e-09 (1)","PKNH_0407600","PBANKA_0310300"
"PF3D7_0213600","3.8e-05 (0.65)","0.00013 (1)","0.0012 (0.99)","0.044 (9.6e-06)","-0.043 (2e-05)","-0.0098 (3.3e-16)","-0.00033 (0.35)","0.0051 (1.5e-05)","0.041 (2.1e-06)","-0.091 (0.0088)","1e-04 (1)","-3.7e-06 (0.95)","2.2e-06 (0.26)","PKNH_0407400","PBANKA_0310500"
"PF3D7_0215900","-6.6e-05 (1)","-0.00049 (1)","-0.00039 (0.72)","0.031 (4.9e-06)","0.0056 (0.75)","-0.0078 (0.24)","-0.0084 (0.79)","-0.065 (0.003)","-0.0061 (0.37)","2.6e-05 (0.68)","-9.5e-07 (1)","3.9e-06 (0.95)","2e-08 (1)","PKNH_0405000","PBANKA_0312600"
"PF3D7_0217500","0.12 (0.99)","-0.67 (0.043)","-0.00025 (0.93)","0.0027 (1.1e-07)","7e-04 (0.47)","0.0042 (6e-06)","0.012 (0.088)","-0.0092 (0.11)","1.7 (1.1e-25)","-0.43 (0.057)","-0.31 (1)","-1 (0.95)","0.73 (0.26)","PKNH_0403400","PBANKA_0314200"
"PF3D7_0218100","-0.067 (0.65)","5.6e-06 (1)","-0.015 (0.76)","0.064 (1.9e-29)","0.0037 (0.71)","-0.0069 (0.068)","-0.0075 (0.76)","-0.016 (0.51)","-0.0098 (0.45)","4e-05 (0.013)","1.1e-07 (1)","-1e-06 (0.95)","-6.1e-09 (1)","PKNH_0402800","PBANKA_0314800"
"PF3D7_0218300","4e-05 (0.65)","-0.1 (1)","-0.0076 (0.93)","0.0081 (0.32)","-0.06 (5.5e-12)","-0.0032 (0.0043)","0.02 (6.4e-05)","-0.013 (4.2e-16)","-4.2e-06 (0.8)","-1.6e-06 (0.86)","-7.2e-07 (1)","-1.5e-06 (0.95)","3e-07 (0.71)","PKNH_0402600","PBANKA_0315000"
"PF3D7_0219500","-0.04 (0.65)","0.032 (1)","0.042 (0.68)","0.14 (1.8e-19)","-0.13 (1.2e-10)","-0.022 (9.7e-07)","-0.014 (0.33)","-0.006 (0.048)","0.0034 (0.058)","-0.031 (0.014)","0.0064 (1)","-0.049 (1)","-0.014 (1)","PKNH_0401400","PBANKA_0315900"
"PF3D7_0303200","-0.00038 (1)","-0.017 (1)","-0.0056 (0.86)","-0.0046 (0.073)","-0.01 (3.2e-05)","0.00059 (0.36)","0.035 (0.00011)","-0.0091 (0.096)","1.4 (4.2e-13)","-1.9 (1.1e-09)","0.11 (1)","-0.0016 (1)","-0.001 (1)","PKNH_0839900","PBANKA_0401800"
"PF3D7_0304400.1","0.0077 (0.65)","0.092 (1)","-0.059 (0.71)","-0.14 (3.9e-42)","0.00011 (0.97)","0.002 (7.4e-05)","0.0084 (0.28)","-0.0038 (2.5e-08)","-0.001 (0.26)","3e-06 (0.41)","1.7e-06 (1)","-6.7e-05 (0.96)","0.008 (0.26)","PKNH_0838700","PBANKA_0403000"
"PF3D7_0306300","3.5e-05 (0.93)","-0.0013 (1)","0.011 (0.9)","-0.029 (4.3e-16)","-0.0018 (0.058)","0.0019 (3.6e-08)","0.031 (4.2e-14)","-0.03 (2e-46)","-4.3e-05 (0.48)","0.00016 (1e-07)","-8.3e-05 (1)","0.00026 (0.95)","-1.1e-05 (1)","PKNH_0836400","PBANKA_0404700"
"PF3D7_0306900","0.012 (0.65)","0.17 (1)","-0.025 (0.9)","-0.16 (4.8e-37)","-0.0051 (0.35)","0.0033 (1.7e-09)","0.023 (0.081)","-0.012 (3e-24)","0.00033 (0.86)","-0.00063 (0.51)","0 (1)","0 (1)","0.0073 (0.26)","PKNH_0835700","PBANKA_0405300"
"PF3D7_0307200","0 (1)","0.18 (1)","-0.028 (0.88)","-0.19 (8.5e-51)","-0.0065 (0.024)","0.0052 (3.6e-18)","0.043 (0.0016)","-0.022 (1.1e-21)","0.0026 (0.01)","-5.1e-06 (0.31)","1.9e-05 (1)","-2.9e-05 (0.95)","0 (1)","PKNH_0835500","PBANKA_0405500"
"PF3D7_0309000","-0.0074 (0.65)","-0.015 (1)","-0.032 (0.73)","-0.016 (0.0012)","-0.0029 (0.23)","-0.0028 (1.8e-10)","0.0046 (0.19)","-0.00086 (0.00016)","-0.00013 (0.47)","6.2e-05 (3.2e-07)","-3e-05 (1)","-0.00013 (0.95)","5e-05 (0.26)","PKNH_0833700","PBANKA_0407200"
"PF3D7_0309500","0.015 (1)","-0.14 (0.78)","0.084 (0.57)","0.079 (1.5e-09)","-0.086 (1.1e-11)","-0.04 (7e-30)","-0.013 (0.088)","-0.0057 (0.033)","-0.00056 (0.45)","-8.1e-05 (0.00015)","-3.2e-07 (1)","-0.00031 (0.95)","0.2 (0.26)","PKNH_0833200","PBANKA_0407600"
"PF3D7_0309900","7.9e-05 (0.65)","-0.012 (1)","0.0055 (0.96)","0.089 (3.7e-07)","-0.098 (4e-08)","0.019 (0.0014)","-0.0042 (0.89)","-0.074 (2.9e-34)","-1.8e-05 (0.28)","-4.2e-06 (0.5)","-5.4e-07 (1)","7.9e-07 (0.95)","-2.7e-07 (0.71)","PKNH_0832800","PBANKA_0408000"
"PF3D7_0310700","-0.025 (0.65)","-0.03 (1)","-0.018 (0.76)","-0.024 (4.5e-06)","0.012 (0.0019)","0.013 (3.2e-10)","-0.045 (1.8e-05)","-0.0072 (6.4e-11)","-2.7e-05 (4.4e-05)","0.032 (0.00063)","0.032 (1)","0.16 (0.95)","0.0085 (1)","PKNH_0832000","PBANKA_0408700"
"PF3D7_0311800","0.003 (1)","-0.08 (0.011)","0.0077 (0.93)","0.073 (2e-21)","-0.046 (1.9e-06)","0.013 (0.00078)","0.015 (0.51)","-0.05 (7.9e-24)","-0.00016 (0.67)","0.035 (0.00032)","0.2 (1)","-0.1 (0.95)","0.0038 (1)","PKNH_0830600","PBANKA_0409800"
"PF3D7_0312000","4.2e-05 (0.68)","6.5e-05 (1)","-0.019 (0.77)","0.044 (3.1e-05)","-0.056 (1.4e-09)","-0.0033 (0.00027)","0.015 (0.00014)","-0.021 (4.7e-09)","-9.2e-05 (0.0086)","-9.2e-06 (0.4)","1.9e-19 (1)","0 (1)","-2.7e-21 (1)","PKNH_0830400","PBANKA_0410000"
"PF3D7_0312400","-0.13 (0.65)","-0.01 (1)","0.019 (0.86)","0.14 (3.5e-21)","-0.031 (0.14)","-0.044 (2.2e-10)","0.17 (5.6e-05)","-0.23 (1.9e-24)","-0.011 (0.096)","7e-05 (3.2e-05)","0.00011 (1)","0.00034 (0.95)","-1.6e-06 (0.74)","PKNH_0829800","PBANKA_0410400"
"PF3D7_0312800","-0.36 (0.65)","0.16 (1)","0.08 (0.73)","0.27 (1.5e-25)","-0.29 (1.1e-35)","-0.097 (2.8e-62)","-0.0011 (0.88)","-0.022 (1.7e-14)","-0.0011 (0.45)","6.9e-07 (0.6)","0 (1)","0 (1)","0 (1)","PKNH_0829400","PBANKA_0410600"
"PF3D7_0313600","2.9e-05 (0.95)","-0.00014 (0.43)","0.0063 (0.81)","0.011 (0.016)","0.0083 (0.083)","-0.00055 (0.81)","0.026 (0.032)","-0.034 (1.1e-17)","-2.4e-05 (0.18)","-0.002 (0.59)","-0.00015 (1)","3.2e-05 (1)","2e-05 (1)","PKNH_0828600","PBANKA_0411300"
"PF3D7_0313800","9.7e-06 (0.65)","0.11 (1)","0.017 (0.87)","0.088 (1.6e-10)","-0.12 (5.2e-12)","-0.0045 (0.16)","0.04 (0.0034)","-0.028 (7.3e-20)","0.0016 (0.0012)","4e-05 (0.98)","6.5e-07 (1)","-3.8e-07 (1)","1.3e-07 (1)","PKNH_0828400","PBANKA_0411500"
"PF3D7_0314000","-0.071 (0.65)","0.023 (1)","-0.001 (0.95)","0.098 (1.1e-27)","0.11 (5e-07)","-0.043 (2e-04)","-0.044 (0.37)","0.023 (0.63)","-0.049 (0.23)","5e-05 (0.046)","6.1e-05 (1)","0.00069 (0.95)","8.7e-06 (1)","PKNH_0828200","PBANKA_0411700"
"PF3D7_0316800","-0.21 (0.65)","0.099 (1)","0.036 (0.83)","0.19 (2.4e-20)","-0.2 (6.9e-32)","-0.057 (2.6e-45)","-0.0015 (0.76)","-0.007 (1.8e-06)","-0.0011 (0.72)","-0.024 (2e-04)","0 (1)","0 (1)","0.016 (0.26)","PKNH_0825000","PBANKA_0414600"
"PF3D7_0906100","-0.057 (0.65)","5.4e-05 (1)","-0.016 (0.82)","0.17 (2.3e-31)","-0.1 (1.3e-06)","-0.025 (3e-06)","0.04 (0.026)","-0.081 (6e-27)","4.4e-05 (0.036)","-4.8e-06 (0.54)","-2.6e-06 (1)","3.7e-06 (0.95)","-1.3e-06 (0.71)","PKNH_0703900","PBANKA_0415200"
"PF3D7_0904800","3.9e-05 (0.65)","-0.013 (1)","-0.046 (0.73)","0.01 (0.49)","-0.13 (1.1e-12)","-0.0065 (0.00034)","0.056 (0.00067)","-0.021 (2.8e-07)","3.8e-05 (0.059)","4.9e-06 (0.64)","-2.6e-06 (1)","-3.3e-06 (0.95)","2.9e-09 (1)","PKNH_0702500","PBANKA_0416600"
"PF3D7_0904700","0.00011 (0.84)","-0.0038 (1)","0.016 (0.76)","0.11 (5.4e-24)","0.063 (0.023)","0.012 (0.37)","0.28 (0.0014)","-0.29 (2.4e-34)","0.0055 (0.19)","-0.024 (0.22)","-0.07 (1)","-0.0013 (1)","2e-05 (1)","PKNH_0702400","PBANKA_0416700"
"PF3D7_0903900","0.037 (0.65)","0.41 (0.43)","-0.008 (0.95)","-0.087 (5.5e-20)","-0.028 (9.2e-08)","0.0034 (0.0022)","0.023 (0.039)","-0.013 (7.6e-28)","-0.00032 (0.46)","-9.2e-06 (0.028)","-2.5e-05 (1)","0 (1)","0.0063 (0.26)","PKNH_0701600","PBANKA_0417500"
"PF3D7_0903200","0 (1)","0.078 (1)","0.00012 (1)","-0.036 (0.0011)","-0.063 (5.5e-14)","0.0036 (0.018)","0.022 (0.0094)","-0.018 (9.7e-15)","-2.1e-05 (0.0013)","2.1e-06 (0.83)","8.8e-05 (0.85)","5.9e-05 (0.95)","8.3e-06 (1)","PKNH_0700900","PBANKA_0418200"
"PF3D7_1017400","-0.00074 (0.65)","0.16 (0.87)","-0.069 (0.63)","-0.083 (4.2e-17)","-0.0082 (9.8e-07)","0.00037 (0.0097)","0.0021 (0.28)","-0.00093 (0.0072)","-0.00057 (0.33)","-0.00017 (0.58)","0 (1)","0 (1)","0 (1)","PKNH_0601600","PBANKA_0501700"
"PF3D7_1020000","5.2e-05 (0.65)","0.1 (0.87)","0.036 (0.83)","-0.098 (8.5e-17)","-0.025 (0.00031)","-0.0053 (0.0011)","-0.0024 (0.35)","0.03 (8.3e-39)","0.066 (0.21)","-0.06 (0.12)","-0.036 (1)","5.9e-05 (0.95)","-2.1e-06 (1)","PKNH_0604200","PBANKA_0504200"
"PF3D7_1020600","2.3e-05 (0.65)","-0.00014 (1)","-0.012 (0.92)","-0.0052 (0.5)","0.0071 (0.39)","-0.012 (4.5e-18)","-0.00059 (0.13)","-1.8e-06 (0.99)","3.6e-05 (1.7e-05)","-4.9e-05 (0.0015)","-6.2e-06 (1)","-2.5e-06 (0.95)","1.5e-06 (0.26)","PKNH_0604800","PBANKA_0504800"
"PF3D7_1021000","0.35 (0.65)","-0.34 (0.85)","0.0088 (0.93)","0.31 (9.3e-69)","-0.14 (0.00016)","-0.066 (1.2e-11)","-0.066 (0.039)","-0.016 (0.032)","-0.00021 (0.049)","0.27 (1.1e-09)","0.17 (1)","0.33 (0.95)","0.061 (1)","PKNH_0605300","PBANKA_0505200"
"PF3D7_1023300","8.4e-05 (0.65)","-0.092 (1)","0.031 (0.76)","0.022 (0.013)","-0.031 (0.00078)","-0.0086 (5.4e-11)","0.008 (0.00069)","-0.005 (3.1e-11)","-0.00039 (0.32)","0.00013 (2.3e-09)","9.3e-07 (1)","1e-04 (0.95)","3.7e-05 (1)","PKNH_0607800","PBANKA_0507500"
"PF3D7_1023400","-0.046 (0.65)","8.1e-05 (1)","0.0038 (0.9)","0.099 (9.1e-34)","-0.08 (8.3e-09)","0.012 (2e-04)","-0.016 (0.43)","-0.064 (3.8e-17)","5.9e-05 (0.36)","-0.00017 (0.0051)","0.00015 (1)","4e-06 (0.95)","2.1e-08 (1)","PKNH_0607900","PBANKA_0507600"
